family,comparison,delta,d,p,p_holm,p_BH,sig_BH
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E1: Mahalanobis, per-subject norm vs global norm",-156.4,-2.929,1.8189894035458565e-12,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E1: MMD-to-others, per-subject norm vs global norm",-6.16,-1.166,1.8189894035458565e-12,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), RF, N=5",-23.15,-2.86,1.8189894035458565e-12,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), SVM, N=5",-25.11,-2.661,3.637978807091713e-12,0.0,0.0,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"New best ensemble (SVM+RESNET_SE [stacking], chandrop) vs old best-ensemble reference (0.815)",4.53,1.594,1.2732925824820995e-11,0.0,0.0,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),ResNet-SE+CD vs RF (SIAT),6.83,1.667,1.8189894035458565e-11,0.0,0.0,Yes
G3 causal AdaBN (resnet_se),Causal AdaBN running vs global-norm baseline,-16.05,-1.834,2.5465851649641987e-11,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E3: causal calib25 (buffer-excl) vs transductive, SVM+RESNET_SE soft",-7.19,-1.345,1.2732925824820995e-10,0.0,0.0,Yes
G4 ResNet-SE calibration,"ResNet-SE calibration K=10 vs K=0 (3-epoch, pooled 5-draw, n=200)",2.67,0.464,4.112110824975713e-10,0.0,0.0,Yes
G3 causal AdaBN (resnet_se),Causal AdaBN calib25 vs full-session AdaBN,-7.82,-1.203,6.748450687155128e-10,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), SVM, N=10",-16.85,-1.502,8.130882633849977e-10,0.0,0.0,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),ResNet-SE+CD vs SVM (SIAT),6.48,1.418,1.9444996723905206e-09,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), RF, N=10",-16.17,-1.532,2.293745637871325e-09,0.0,0.0,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"ResNet-SE+CD vs base ResNet-SE (SIAT, per-subject norm)",5.94,1.222,2.293745637871325e-09,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E3: causal calib50 (buffer-excl) vs transductive, SVM+RESNET_SE soft",-4.66,-1.101,3.163222572766244e-09,0.0,0.0,Yes
G8 ResNet-SE augmentation ablation,ResNet-SE augmentation: Channel Dropout vs No Augmentation,5.73,1.201,3.163222572766244e-09,0.0,0.0,Yes
G7 ResNet-SE SD-vs-LOSO gap,ResNet-SE SD vs LOSO (generalization gap),-20.89,-1.332,5.029505700804293e-09,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), RF, N=20",-13.95,-1.213,1.5819750842638314e-08,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),E5: SVM+RF_calibrated(sigmoid)+RESNET_SE [soft] vs headline SVM+RESNET_SE [soft],-1.92,-1.247,1.5819750842638314e-08,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E3: causal calib100 (buffer-excl) vs transductive, SVM+RESNET_SE soft",-4.11,-1.125,2.6917405193671584e-08,0.0,0.0,Yes
G8 ResNet-SE augmentation ablation,ResNet-SE augmentation: Combined vs No Augmentation,5.11,1.007,7.284143066499382e-08,0.0,0.0,Yes
ensemble-v2 combiner,Best ensemble-v2 (SVM+RF+RESNET_SE weighted_soft) vs original SVM+RF+CNN hard vote,2.34,1.078,1.3044336810708046e-07,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), SVM, N=20",-11.92,-1.024,2.535471139708534e-07,0.0,0.0,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),E5: SVM+RF_calibrated(isotonic)+RESNET_SE [soft] vs headline SVM+RESNET_SE [soft],-1.58,-1.029,2.822944225044921e-07,0.0,0.0,Yes
G3 causal AdaBN (resnet_se),Causal AdaBN calib50 vs full-session AdaBN,-4.9,-0.932,1.055741449818015e-06,0.0001,0.0,Yes
SIAT-ablation (§4.11),6_end_to_end [RF] full72_global→rfe36_persubj,3.8,0.75,1e-05,0.0005,0.0,Yes
G3 causal AdaBN (resnet_se),Causal AdaBN calib100 vs full-session AdaBN,-3.79,-0.732,2.104776467604097e-05,0.0011,0.0,Yes
July-2026 second pass,"STDUP-class F1 balanced vs imbalanced, RF",-1.2,-0.66,0.0001,0.005,0.0002,Yes
July-2026 second pass,resnet_se vs SimpleEMGCNN headline (0.754),2.85,0.65,0.0001,0.005,0.0002,Yes
SIAT-ablation (§4.11),3_featsel_marginal_persubj [RF] full72_persubj→rfe36_persubj,-1.4,-0.68,0.000206,0.0099,0.0004,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"AdaBN post vs pre (CD backbone, SIAT)",3.08,0.593,0.0002981813922815,0.014,0.0006,Yes
new-experiment (§4.16),Calibration (3 ep) K=10 vs K=0,2.8,0.64,0.0004,0.0184,0.0008,Yes
SIAT-ablation (§4.11),2_featsel_indep_global [RF] full72_global→rfe36_global,-1.6,-0.6,0.00057,0.0256,0.0011,Yes
G6 STDUP balance (deep models),"STDUP-class F1 balanced vs imbalanced, CNN",-1.04,-0.402,0.000628576191571,0.0277,0.0011,Yes
G6 STDUP balance (deep models),"STDUP-class F1 balanced vs imbalanced, RESNET_SE",-1.12,-0.42,0.000843662472107,0.0363,0.0015,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"ResNet-SE+CD per-subject vs AdaBN post (CD backbone, SIAT)",2.34,0.564,0.0009936344267771,0.0417,0.0017,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"ResNet-SE+CD per-subject vs Deep CORAL (CD backbone, SIAT)",1.59,0.442,0.001770566779669,0.0726,0.0031,Yes
SIAT-ablation (§4.11),2_featsel_indep_global [RF] full72_global→mi36_global,-1.2,-0.52,0.002908,0.1163,0.0049,Yes
new-experiment (§4.16),CNN external per-subj vs global (n=10),16.9,1.04,0.0039,0.1521,0.0064,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"Best ensemble (SVM+RESNET_SE [soft], chandrop, ENABL3S) vs hard vote",2.12,1.306,0.00390625,0.1521,0.0064,Yes
G3 causal AdaBN (resnet_se),Causal AdaBN calib25 vs global-norm baseline,-3.9,-0.455,0.0058316492340964,0.2158,0.0093,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),"Best ensemble (SVM+RESNET_SE [soft], chandrop, ENABL3S) vs best single model SVM",6.72,1.413,0.005859375,0.2158,0.0093,Yes
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), SVM, N=100",5.52,0.394,0.0097819976544997,0.3424,0.0152,Yes
G9 ResNet-SE+CD promotion (Phases 3-6),ResNet-SE+CD ENABL3S per-subject vs global norm,13.24,0.858,0.013671875,0.4648,0.0207,Yes
new-experiment (§4.16),SVM external per-subj vs global (n=10),10.3,1.03,0.0137,0.4648,0.0207,Yes
SIAT-ablation (§4.11),4_cnn_aug_indep_global [CNN] full72_global→timemask_global,-1.8,-0.38,0.016506,0.5282,0.0241,Yes
G4 ResNet-SE calibration,"ResNet-SE calibration K=20 vs K=0 (3-epoch, single-draw)",2.46,0.425,0.0165063432104943,0.5282,0.0241,Yes
G4 ResNet-SE calibration,"ResNet-SE calibration K=5 vs K=0 (3-epoch, pooled 5-draw, n=200)",0.88,0.171,0.0257972139585146,0.7739,0.0371,Yes
G1 external validation (ENABL3S),Best ensemble-v2 (SVM+RF+RESNET_SE weighted_soft) vs best single model SVM (ENABL3S),3.62,0.816,0.02734375,0.793,0.0388,Yes
new-experiment (§4.16),RF external per-subj vs global (n=10),11.1,0.77,0.0371,1.0,0.0511,No
G1 external validation (ENABL3S),"AdaBN post vs pre (resnet_se, ENABL3S)",9.9,0.747,0.037109375,1.0,0.0511,No
G1 external validation (ENABL3S),Best ensemble-v2 (SVM+RF+RESNET_SE weighted_soft) vs hard vote (ENABL3S),0.76,0.822,0.048828125,1.0,0.0663,No
G4 ResNet-SE calibration,"ResNet-SE calibration K=5 vs K=0 (3-epoch, single-draw)",-2.13,-0.317,0.0513996852787386,1.0,0.0688,No
G1 external validation (ENABL3S),ResNet-SE ENABL3S per-subject vs global norm,8.94,0.683,0.064453125,1.0,0.085,No
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), RF, N=50",2.21,0.296,0.068224220740376,1.0,0.0888,No
SIAT-ablation (§4.11),5_cnn_aug_marginal_persubj [CNN] full72_persubj→gaussian_persubj,0.6,0.27,0.081714,1.0,0.1049,No
July-2026 second pass,AdaBN post (resnet_se) vs SimpleEMGCNN headline (0.754),-1.12,-0.22,0.1119,1.0,0.1417,No
new-experiment (§4.16),"Causal calib-100 vs global, RF",-1.5,-0.23,0.1538,1.0,0.1922,No
G4 ResNet-SE calibration,"ResNet-SE calibration K=10 vs K=0 (3-epoch, single-draw)",1.74,0.317,0.1617874718067469,1.0,0.1996,No
July-2026 second pass,Deep CORAL (resnet_se) vs SimpleEMGCNN headline (0.754),1.0,0.18,0.1831,1.0,0.223,No
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), SVM, N=50",1.69,0.178,0.2162961354260915,1.0,0.2601,No
EXPERIMENT_PLAN_CRITIQUE (E1-E5),E5: best RF-calibrated(isotonic)-inclusive ensemble (SVM+RF+RESNET_SE [stacking]) vs headline SVM+RESNET_SE [soft],0.25,0.191,0.247927191781855,1.0,0.2944,No
G1 external validation (ENABL3S),"AdaBN post (resnet_se, ENABL3S) vs per-subject headline (0.565)",-2.35,-0.375,0.275390625,1.0,0.323,No
SIAT-ablation (§4.11),4_cnn_aug_indep_global [CNN] full72_global→gaussian_global,-0.9,-0.17,0.288658,1.0,0.3344,No
G3 causal AdaBN (resnet_se),Causal AdaBN calib50 vs global-norm baseline,-0.98,-0.14,0.3611039877814619,1.0,0.4133,No
EXPERIMENT_PLAN_CRITIQUE (E1-E5),E5: best RF-calibrated(sigmoid)-inclusive ensemble (SVM+RF+RESNET_SE [stacking]) vs headline SVM+RESNET_SE [soft],0.19,0.141,0.3753805605592788,1.0,0.4245,No
SIAT-ablation (§4.11),3_featsel_marginal_persubj [SVM] full72_persubj→rfe36_persubj,0.4,0.15,0.382645,1.0,0.4277,No
G8 ResNet-SE augmentation ablation,ResNet-SE augmentation: Gaussian Noise vs No Augmentation,-0.4,-0.098,0.4049377396495401,1.0,0.4422,No
SIAT-ablation (§4.11),2_featsel_indep_global [SVM] full72_global→mi36_global,0.8,0.2,0.404938,1.0,0.4422,No
G1 external validation (ENABL3S),"Deep CORAL (resnet_se, ENABL3S) vs per-subject headline (0.565)",-4.07,-0.326,0.556640625,1.0,0.6009,No
EXPERIMENT_PLAN_CRITIQUE (E1-E5),"E4: regime A (subject-only) vs B (cross-subject 0-label), RF, N=100",0.64,0.031,0.7694801456255036,1.0,0.8214,No
SIAT-ablation (§4.11),5_cnn_aug_marginal_persubj [CNN] full72_persubj→chandrop_persubj,0.3,0.09,0.816039,1.0,0.8614,No
G8 ResNet-SE augmentation ablation,ResNet-SE augmentation: Time Masking vs No Augmentation,-0.12,-0.028,0.8471556244439853,1.0,0.8654,No
SIAT-ablation (§4.11),4_cnn_aug_indep_global [CNN] full72_global→chandrop_global,-0.1,-0.01,0.847156,1.0,0.8654,No
SIAT-ablation (§4.11),5_cnn_aug_marginal_persubj [CNN] full72_persubj→timemask_persubj,-0.3,-0.08,0.847156,1.0,0.8654,No
G3 causal AdaBN (resnet_se),Causal AdaBN calib100 vs global-norm baseline,0.12,0.017,0.8785070700851065,1.0,0.8879,No
SIAT-ablation (§4.11),2_featsel_indep_global [SVM] full72_global→rfe36_global,0.1,0.02,0.920592,1.0,0.9206,No
